mol_bdID,mol_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
50260959,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3cnc4ccc([N+](=O)[O-])cn34)CC2)[C@@H](c2cccc(F)c2)C1,active,549.6470000000002,4.920000000000004,1.0,7.0,9.221848749616356
50260965,CC[C@@H](C)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccc(O)cc4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1,active,576.7570000000003,5.732800000000006,2.0,6.0,9.221848749616356
50260988,CC[C@@H](C)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccc(OC(F)(F)F)cc4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1,active,644.7540000000001,6.925800000000008,1.0,6.0,9.221848749616356
51080207,CCn1nc(Cc2ccc(O)cc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)C)C[C@@H]2c2cccc(F)c2)CC1,active,562.7300000000001,5.342700000000005,2.0,6.0,9.221848749616356
50853839,Cc1nc(Oc2ccc(C(=O)O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2cccc(Cl)c2)CC1,active,605.1350000000002,6.1562200000000065,1.0,6.0,9.221848749616356
50706859,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3cccc(C#N)c3)c3ccccc3)CC2)CC1,active,537.7080000000002,4.974420000000005,0.0,5.0,9.221848749616356
50417238,COCCOc1ccc(N(Cc2cnccc2C)C2CCN([C@H](C)CCNC(=O)c3c(C)cc(Cl)nc3C)CC2)cc1,active,594.2,5.760060000000006,1.0,7.0,9.221848749616356
50919701,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3[nH]c(Cc4ccccc4)nc3Cl)CC2)[C@@H](c2ccccc2)C1,active,561.1700000000002,6.192300000000007,2.0,4.0,9.221848749616356
50264229,COC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(C(C)=O)CC3)C2)c1ccccc1,active,479.6250000000003,3.751420000000002,1.0,6.0,9.221848749616356
50986665,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3cccc(C#N)c3)c3ccccc3)CC2)CC1,active,537.7080000000002,4.974420000000005,0.0,5.0,9.173925197299173
50417230,O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(c3cnc(Cc4ccccc4)[nH]3)CC2)[C@@H](c2ccccc2)C1,active,540.7520000000002,5.9290000000000065,2.0,4.0,9.173925197299173
50719119,O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(c3cnc(Cc4ccccc4)[nH]3)CC2)[C@@H](c2ccccc2)C1,active,540.7520000000002,5.9290000000000065,2.0,4.0,9.167491087293763
50719081,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cccc(F)c2)C2CCN(S(C)(=O)=O)CC2)CC1,active,621.841,3.930100000000003,0.0,6.0,9.161150909262744
50074020,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cc(F)cc(Cl)c2)C2CCN(S(C)(=O)=O)CC2)CC1,active,656.2860000000001,4.583500000000004,0.0,6.0,9.161150909262744
50215966,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cc(F)cc(F)c2)C2CCN(S(C)(=O)=O)CC2)CC1,active,639.831,4.069200000000003,0.0,6.0,9.154901959985743
50986648,CC(C)[C@H](C(=O)O)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,active,462.67800000000017,5.546100000000005,1.0,3.0,9.154901959985743
50260951,O=C(O)[C@@H](CC1CC1)N1C[C@H](CN2CCC(c3[nH]c(Cc4ccccc4)nc3Cl)CC2)[C@@H](c2cccc(F)c2)C1,active,565.1330000000003,5.941300000000006,2.0,4.0,9.154901959985743
50264261,CC[C@H](C)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccc(OCc5ccccc5)cc4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1,active,666.8820000000001,7.606200000000009,1.0,6.0,9.154901959985743
50260898,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,active,481.6840000000002,6.600840000000008,0.0,3.0,9.154901959985743
50260830,CCn1nc(Cc2ccc(OC3CCC3)cc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1,active,630.8490000000003,6.958500000000008,1.0,6.0,9.154901959985743
50417258,CCn1nc(Cc2cccc(OC)c2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1,active,590.7840000000002,6.035800000000006,1.0,6.0,9.154901959985743
50350703,CC(C)[C@H](C(=O)O)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,active,462.67800000000017,5.546100000000005,1.0,3.0,9.154901959985743
50260957,O=C(Cc1ccc(F)cc1)NC1CCN(CC[C@H](NC(=O)C2CCC2)c2ccccc2)CC1,active,451.58600000000024,3.996500000000003,2.0,3.0,9.154901959985743
50260976,CCOc1ccc(Cc2cc(C3CCN(C[C@H]4CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]4c4cccc(F)c4)CC3)n(CC)n2)cc1F,active,622.801,6.5650000000000075,1.0,6.0,9.154901959985743
50260983,CCCOc1ccc(Cc2cc(C3CCN(C[C@H]4CN([C@@H](C(=O)O)C5CCCCC5)C[C@@H]4c4cccc(F)c4)CC3)n(CC)n2)cc1,active,644.8760000000001,7.350200000000009,1.0,6.0,9.154901959985743
