mol_bdID,mol_smiles,bioactivity_class,mol_IC50
50004381,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,10.0
50004400,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,10.0
50004869,CCCCCCCCCCCCn1nnc(C(C(=O)Nc2c(C(C)C)cccc2C(C)C)c2ccccc2)n1,active,10.0
330421,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccc(O)cc1,active,10.3
50648006,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2CSc2ccccc2)CN1C1CCCCC1,active,11.0
50835205,CCCCn1c(=O)c(NC(=O)Nc2c(C(C)C)cccc2C(C)C)c(-c2cccc(OC)c2)c2cccnc21,active,11.0
50051803,CCCCCCCN(CCCCCSc1nc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)[nH]1)C(=O)CC1CCCCC1,active,11.0
51053335,CCc1ccc(C(=O)O[C@H]2C[C@H]3[C@](C)(COC(C)=O)[C@@H](OC(C)=O)CC[C@]3(C)[C@H]3[C@@H](O)c4c(cc(-c5cccnc5)oc4=O)O[C@]23C)cc1,active,190.0
50602975,CCCc1c(-c2nc(N(C)C)no2)c(C(=O)OCC)c2c(-c3ccccc3)cc(N3CCOCC3)nn12,active,190.0
50529979,COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ccccc3OCCCN)CC2)c1,active,195.0
50084179,CCCCCCCCCCCCn1nnc(C(C(=O)Nc2c(OC)cc(OC)cc2OC)c2ccc(OC)cc2)n1,active,200.0
50058760,CCCCCCCN(Cc1ccc(CSc2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1)C(=O)Nc1ccc(F)cc1F,active,200.0
50762089,CC1=CC(=O)OC(CSc2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)C1,active,200.0
50473996,COc1ccc(-c2nc(SCCCCCSc3nc(-c4ccc(OC)cc4)c(-c4ccc(OC)cc4)[nH]3)[nH]c2-c2ccc(OC)cc2)cc1,active,200.0
50058743,O=C(Nc1ccc(F)cc1F)N(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)Cc1ccccc1,active,200.0
50768305,CCCCCCCCCCCC(=O)NC(COC(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccc1,active,200.0
50969054,CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC,active,200.0
