Name,SMILES
,O=C(Cn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(C1CCCCC1)C2=O)c1cccc([N+](=O)[O-])c1
,O=C(Cn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(C1CCCCC1)C2=O)c1ccccc1
,O=C(Cn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(Cc1ccccc1)C2=O)c1ccccc1
,CC(C)CC(C)N1Cc2c(n(CC(=O)c3ccccc3)c3cc(-c4ccccc4)nn3c2=O)C1=O
,CSc1cc(C)nc(SC)c1NC(=O)CN1CCN(CCSc2nc3ccccc3s2)CC1
,CN(C)c1ccc(-c2nc(SCCCCCN(CCCCCSc3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)C(=O)Nc3ccc(F)cc3F)[nH]c2-c2ccc(N(C)C)cc2)cc1
00030001.cdx,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccc(OC(=O)CN2CCCCCC2=O)cc1
,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2Cc2ccccc2)CN1C1CCCCC1
00029001.cdx,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccc(OC(=O)CCCCCCN2CCCCCC2=O)cc1
 ,COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ncccc3OCCCO)CC2)c1
,c1ccc(-c2nc(C3OCC4(CCCCC4)CO3)[nH]c2-c2ccccc2)cc1
00027001.cdx,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccccc1
,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2Cc2ccccc2)CN1Cc1ccccc1
,CCCCCCCCCCCCn1nnc(CC(=O)Nc2c(C(C)C)cccc2C(C)C)n1
,CCCCn1c(=O)c(NC(=O)Nc2c(C(C)C)ccnc2C(C)C)c(-c2cccc(OC)c2)c2cccnc21
,C=CCOc1ccc(-c2cc3n(Cc4ccccc4)c4c(c(=O)n3n2)CN(C2CCCCC2)C4=O)cc1
,Cc1cc2ncc(NC(=O)Nc3ccc(F)cc3F)c(-c3ccccc3Cl)c2cc1C
,CCCCCCCCCCCCc1nnn(CC(=O)Nc2c(C(C)C)cccc2C(C)C)n1
,CCCC(N)C(=O)O[C@H]1CC2[C@](C)(CC[C@@H]3OC(c4ccccc4)OC[C@@]23C)C2[C@@H](O)c3c(cc(-c4cccnc4)oc3=O)O[C@@]21C
,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCCCCSc1nc2ccccc2o1
,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCCCCSc1nc2ccccc2o1
,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2C/C=C/c2ccccc2)CN1C1CCCCC1
,CCCCCCCCCCCCOC(=O)C(C(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccn1
,CCCCCCCN(CCCCCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F
,CCCCCCCN(CCCCCS(=O)c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F
,CCCCn1c(=O)c(NC(=O)Nc2c(C(C)C)cc(N)cc2C(C)C)c(-c2cccc(OC)c2)c2cccnc21
