,IC50
602, 2000
603, 2040
604, 2060
605, 2060
606, 2100
607, 2100
608, 2100
609, 2100
610, 2140
611, 2170
612, 2200
613, 2200
614, 2200
615, 2200
616, 2230
617, 2240
618, 2300
619, 2300
620, 2300
621, 2300
622, 2300
623, 2300
624, 2320
625, 2400
626, 2400
627, 2400
628, 2400
629, 2400
630, 2400
631, 2400
632, 2400
633, 2440
634, 2490
635, 2500
636, 2500
637, 2500
638, 2500
639, 2500
640, 2500
641, 2560
642, 2580
643, 2590
644, 2600
645, 2600
646, 2620
647, 2690
648, 2700
649, 2700
650, 2700
651, 2700
652, 2700
653, 2700
654, 2700
655, 2700
656, 2717
657, 2730
658, 2760
659, 2790
660, 2790
661, 2800
662, 2800
663, 2800
664, 2800
665, 2800
666, 2800
667, 2800
668, 2800
669, 2800
670, 2820
671, 2850
672, 2860
673, 2860
674, 2900
675, 2990
676, 3000
677, 3000
678, 3000
679, 3000
680, 3000
681, 3010
682, 3020
683, 3050
684, 3100
685, 3100
686, 3100
687, 3100
688, 3160
689, 3180
690, 3200
691, 3200
692, 3200
693, 3200
694, 3200
695, 3200
696, 3200
697, 3240
698, 3250
699, 3280
700, 3300
701, 3300
702, 3310
703, 3346
704, 3400
705, 3400
706, 3430
707, 3500
708, 3500
709, 3500
710, 3500
711, 3500
712, 3540
713, 3560
714, 3567
715, 3600
716, 3600
717, 3600
718, 3600
719, 3600
720, 3600
721, 3600
722, 3600
723, 3620
724, 3620
725, 3640
726, 3650
727, 3700
728, 3730
729, 3770
730, 3784
731, 3800
732, 3800
733, 3800
734, 3800
735, 3870
736, 3890
737, 3900
738, 3900
739, 3920
740, 3930
741, 4000
742, 4000
743, 4000
744, 4000
745, 4000
746, 4000
747, 4000
748, 4040
749, 4100
750, 4100
751, 4100
752, 4130
753, 4140
754, 4160
755, 4160
756, 4175
757, 4180
758, 4200
759, 4200
760, 4200
761, 4200
762, 4230
763, 4300
764, 4300
765, 4300
766, 4300
767, 4350
768, 4370
769, 4400
770, 4410
771, 4510
772, 4530
773, 4540
774, 4590
775, 4590
776, 4600
777, 4654
778, 4700
779, 4720
780, 4800
781, 4800
782, 4800
783, 4800
784, 4830
785, 4900
786, 4900
787, 4950
788, 5000
789,5000
790,5000
791, 5000
792,5000
793, 5000
794, 5000
795, 5000
796, 5000
797,5000
798,5000
799, 5080
800, 5100
801, 5100
802, 5100
803, 5100
804, 5200
805, 5200
806, 5200
807, 5200
808, 5300
809, 5300
810, 5300
811, 5320
812, 5340
813, 5470
814, 5470
815, 5500
816, 5500
817, 5500
818, 5500
819, 5540
820, 5600
821, 5600
822, 5600
823, 5640
824, 5660
825, 5690
826, 5700
827, 5800
828, 5800
829, 5800
830, 5800
831, 5810
832, 5866
833, 5900
834, 5900
835, 5900
836, 6000
837, 6000
838, 6000
839, 6000
840, 6000
841, 6000
842, 6000
843, 6020
844, 6060
845, 6200
846, 6200
847, 6230
848, 6300
849, 6400
850, 6400
851, 6530
852, 6550
853, 6660
854, 6800
855, 6800
856, 6800
857, 6850
858, 6900
859, 6900
860, 6900
861, 6920
862, 6960
863, 7000
864, 7100
865, 7130
866, 7150
867, 7200
868, 7200
869, 7236
870, 7270
871, 7400
872, 7410
873, 7500
874, 7500
875, 7510
876, 7510
877, 7550
878, 7600
879, 7690
880, 7700
881, 7870
882, 7960
883,8000
884, 8000
885, 8100
886, 8100
887, 8110
888, 8190
889, 8330
890, 8330
891, 8400
892, 8490
893, 8670
894, 8700
895, 8700
896, 8750
897, 8800
898, 8800
899, 8830
900, 8900
901, 9150
902, 9190
903, 9200
904, 9200
905, 9300
906, 9400
907, 9400
908, 9510
909, 9540
910, 9620
911, 9710
912, 9760
913,10000
914,10000
915,10000
916,10000
917,10000
918, 10000
919,10000
920,10000
921,10000
922,10000
923, 10000
924, 10000
925,10000
926,10000
927,10000
928,10000
929,10000
930,10000
931,10000
932,10000
933,10000
934,10000
935, 10000
936,10000
937,10000
938,10000
939,10000
940,10000
941,10000
942,10000
943,10000
944,10000
945,10000
946,10000
947,10000
948,10000
949,10000
950,10000
951,10000
952,10000
953,10000
954,10000
955,10000
956,10000
957,10000
958,10000
959,10000
960,10000
961,10000
962,10000
963,10000
964,10000
965,10000
966,10000
967,10000
968,10000
969, 10000
970, 10070
971, 10100
972, 10300
973, 10300
974, 10400
975, 10500
976, 10600
977, 10600
978, 10900
979, 11000
980, 11000
981, 11000
982, 11000
983, 11000
984, 11000
985, 11000
986, 11000
987, 11000
988, 11000
989, 11000
990, 11400
991, 11500
992, 11510
993, 12000
994, 12000
995, 12000
996, 12000
997, 12000
998, 12000
999, 12000
1000,12000
1001, 12000
1002, 12000
1003, 12800
1004, 12900
1005, 13000
1006, 13000
1007, 13000
1008, 13000
1009, 13000
1010, 13500
1011, 13600
1012, 13600
1013, 13600
1014, 13700
1015, 13800
1016,13800
1017, 13900
1018, 13900
1019, 14000
1020, 14000
1021, 14000
1022,14000
1023, 14000
1024, 14100
1025, 14200
1026,14800
1027, 15000
1028, 15000
1029, 15000
1030, 15000
1031,15200
1032, 16000
1033, 16000
1034, 16000
1035, 16000
1036, 16000
1037, 16000
1038, 16500
1039, 16800
1040, 17000
1041, 17000
1042, 17000
1043, 17000
1044, 17770
1045, 17810
1046, 18000
1047, 18000
1048, 18000
1049, 18000
1050, 18000
1051, 18000
1052, 18000
1053, 18900
1054, 19000
1055, 19000
1056, 19100
1057, 19200
1058, 19400
1059, 19600
1060, 20000
1061, 20000
1062, 20000
1063, 20000
1064, 20500
1065, 21000
1066, 21000
1067, 21000
1068, 21200
1069, 21800
1070, 21800
1071,22000
1072, 22000
1073, 22000
1074, 22000
1075, 22400
1076, 22600
1077, 22780
1078, 23000
1079,23000
1080, 23000
1081, 23000
1082, 23000
1083, 23300
1084, 23400
1085, 23500
1086, 23700
1087, 24000
1088, 24000
1089, 24000
1090, 24000
1091, 24000
1092, 24400
1093, 24700
1094,25000
1095, 25000
1096, 25000
1097,25000
1098, 25000
1099, 21.7
1100, 22
1101, 22
1102, 22
1103, 22
1104, 22
1105, 23
1106, 23
1107, 23
1108, 24
1109, 24
1110, 24
1111, 24
1112, 24
1113, 25
1114, 25
1115, 25
1116, 25
1117, 25
1118, 25
1119, 25
1120, 26
1121, 26
1122, 26
1123, 28
1124, 28
1125, 28.7
1126, 30
1127, 30
1128, 30
1129, 30
1130, 30
1131, 30
1132, 30
1133, 30
1134, 30
1135, 30
1136, 30
1137, 30
1138, 30
1139, 30
1140, 30
1141, 31
1142, 31
1143, 31
1144, 31
1145, 31
1146, 31
1147, 31
1148, 32
1149, 25000
1150,25000
1151, 25800
1152, 26000
1153, 26000
1154, 26000
1155, 26900
1156,27000
1157, 27000
1158, 27160
1159, 27300
1160, 27300
1161, 27550
1162, 28000
1163, 28000
1164, 28000
1165,28000
1166,28000
1167, 28700
1168, 29000
1169, 29000
1170, 29700
1171, 30000
1172, 30000
1173, 30000
1174, 30000
1175,30000
1176, 30700
1177, 31000
1178, 31000
1179, 31000
1180,31000
1181, 31000
1182, 32000
1183, 32000
1184, 32100
1185, 32800
1186,33000
1187, 33000
1188, 33170
1189, 34000
1190, 34000
1191, 35000
1192, 35000
1193, 35000
1194, 35580
1195, 36000
1196, 36400
1197, 38000
1198, 38000
1199, 38000
1200, 38000
1201, 38100
1202, 39000
1203, 39000
1204, 39900
1205, 39900
1206, 40000
1207, 40000
1208, 40000
1209, 41470
1210, 41470
1211, 41800
1212, 42000
1213, 42000
1214, 42000
